Matches,Year,Season ,City,Date,Match_type,Player_of_match,Venue,Home Team,Visiting Team,Toss_winner,Toss_decision,Match Winner,Home/Away Result,Won By,Result_margin,Winning Margin Category,Target_Runs,Target_overs,Super_over,Result Method
49,2021,Season 14,Dubai,03-10-2021,League,Shubman Gill,Dubai International Cricket Stadium,Sunrisers Hyderabad,Kolkata Knight Riders,Sunrisers Hyderabad,Bating,Kolkata Knight Riders,Away Win,wickets,6,Moderate Win,116,20,No,Normal
50,2021,Season 14,Dubai,04-10-2021,League,AR Patel,Dubai International Cricket Stadium,Chennai Super Kings,Delhi Capitals,Delhi Capitals,Fielding,Delhi Capitals,Away Win,wickets,3,Close Match,137,20,No,Normal
51,2021,Season 14,Sharjah,05-10-2021,League,NM Coulter-Nile,Sharjah Cricket Stadium,Rajasthan Royals,Mumbai Indians,Mumbai Indians,Fielding,Mumbai Indians,Away Win,wickets,8,Dominating Win,91,20,No,Normal
52,2021,Season 14,Abu Dhabi,06-10-2021,League,KS Williamson,Sheikh Zayed Stadium,Sunrisers Hyderabad,Royal Challengers Bengaluru,Royal Challengers Bengaluru,Fielding,Sunrisers Hyderabad,Home Win,Runs,4,Close Match,142,20,No,Normal
53,2021,Season 14,Dubai,07-10-2021,League,KL Rahul,Dubai International Cricket Stadium,Chennai Super Kings,Punjab Kings,Punjab Kings,Fielding,Punjab Kings,Away Win,wickets,6,Moderate Win,135,20,No,Normal
54,2021,Season 14,Sharjah,07-10-2021,League,Shivam Mavi,Sharjah Cricket Stadium,Kolkata Knight Riders,Rajasthan Royals,Rajasthan Royals,Fielding,Kolkata Knight Riders,Home Win,Runs,86,Dominating Win,172,20,No,Normal
55,2021,Season 14,Abu Dhabi,08-10-2021,League,Ishan Kishan,Sheikh Zayed Stadium,Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,Bating,Mumbai Indians,Home Win,Runs,42,Moderate Win,236,20,No,Normal
56,2021,Season 14,Dubai,08-10-2021,League,KS Bharat,Dubai International Cricket Stadium,Delhi Capitals,Royal Challengers Bengaluru,Royal Challengers Bengaluru,Fielding,Royal Challengers Bengaluru,Away Win,wickets,7,Dominating Win,165,20,No,Normal
57,2021,Season 14,Dubai,10-10-2021,Playoffs,RD Gaikwad,Dubai International Cricket Stadium,Delhi Capitals,Chennai Super Kings,Chennai Super Kings,Fielding,Chennai Super Kings,Away Win,wickets,4,Moderate Win,173,20,No,Normal
58,2021,Season 14,Sharjah,11-10-2021,Playoffs,SP Narine,Sharjah Cricket Stadium,Royal Challengers Bengaluru,Kolkata Knight Riders,Royal Challengers Bengaluru,Bating,Kolkata Knight Riders,Away Win,wickets,4,Moderate Win,139,20,No,Normal
59,2021,Season 14,Sharjah,13-10-2021,Playoffs,VR Iyer,Sharjah Cricket Stadium,Delhi Capitals,Kolkata Knight Riders,Kolkata Knight Riders,Fielding,Kolkata Knight Riders,Away Win,wickets,3,Close Match,136,20,No,Normal
60,2021,Season 14,Dubai,15-10-2021,Final,F du Plessis,Dubai International Cricket Stadium,Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders,Fielding,Chennai Super Kings,Home Win,Runs,27,Moderate Win,193,20,No,Normal
1,2022,Season 15,Mumbai,26-03-2022,League,UT Yadav,Wankhede Stadium,Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders,Fielding,Kolkata Knight Riders,Away Win,wickets,6,Moderate Win,132,20,No,Normal
2,2022,Season 15,Mumbai,27-03-2022,League,Kuldeep Yadav,"Brabourne Stadium, Mumbai",Mumbai Indians,Delhi Capitals,Delhi Capitals,Fielding,Delhi Capitals,Away Win,wickets,4,Moderate Win,178,20,No,Normal
3,2022,Season 15,Mumbai,27-03-2022,League,OF Smith,"Dr DY Patil Sports Academy, Mumbai",Royal Challengers Bengaluru,Punjab Kings,Punjab Kings,Fielding,Punjab Kings,Away Win,wickets,5,Moderate Win,206,20,No,Normal
4,2022,Season 15,Mumbai,28-03-2022,League,Mohammed Shami,Wankhede Stadium,Lucknow Super Giants,Gujarat Titans,Gujarat Titans,Fielding,Gujarat Titans,Away Win,wickets,5,Moderate Win,159,20,No,Normal
5,2022,Season 15,Pune,29-03-2022,League,SV Samson,Maharashtra Cricket Association Stadium,Rajasthan Royals,Sunrisers Hyderabad,Sunrisers Hyderabad,Fielding,Rajasthan Royals,Home Win,Runs,61,Dominating Win,211,20,No,Normal
6,2022,Season 15,Mumbai,30-03-2022,League,PWH de Silva,"Dr DY Patil Sports Academy, Mumbai",Kolkata Knight Riders,Royal Challengers Bengaluru,Royal Challengers Bengaluru,Fielding,Royal Challengers Bengaluru,Away Win,wickets,3,Close Match,129,20,No,Normal
7,2022,Season 15,Mumbai,31-03-2022,League,E Lewis,"Brabourne Stadium, Mumbai",Chennai Super Kings,Lucknow Super Giants,Lucknow Super Giants,Fielding,Lucknow Super Giants,Away Win,wickets,6,Moderate Win,211,20,No,Normal
8,2022,Season 15,Mumbai,01-04-2022,League,UT Yadav,Wankhede Stadium,Punjab Kings,Kolkata Knight Riders,Kolkata Knight Riders,Fielding,Kolkata Knight Riders,Away Win,wickets,6,Moderate Win,138,20,No,Normal
9,2022,Season 15,Mumbai,02-04-2022,League,JC Buttler,"Dr DY Patil Sports Academy, Mumbai",Rajasthan Royals,Mumbai Indians,Mumbai Indians,Fielding,Rajasthan Royals,Home Win,Runs,23,Moderate Win,194,20,No,Normal
10,2022,Season 15,Pune,02-04-2022,League,LH Ferguson,Maharashtra Cricket Association Stadium,Gujarat Titans,Delhi Capitals,Delhi Capitals,Fielding,Gujarat Titans,Home Win,Runs,14,Moderate Win,172,20,No,Normal
11,2022,Season 15,Mumbai,03-04-2022,League,LS Livingstone,"Brabourne Stadium, Mumbai",Punjab Kings,Chennai Super Kings,Chennai Super Kings,Fielding,Punjab Kings,Home Win,Runs,54,Dominating Win,181,20,No,Normal
12,2022,Season 15,Mumbai,04-04-2022,League,Avesh Khan,"Dr DY Patil Sports Academy, Mumbai",Lucknow Super Giants,Sunrisers Hyderabad,Sunrisers Hyderabad,Fielding,Lucknow Super Giants,Home Win,Runs,12,Moderate Win,170,20,No,Normal
13,2022,Season 15,Mumbai,05-04-2022,League,KD Karthik,Wankhede Stadium,Rajasthan Royals,Royal Challengers Bengaluru,Royal Challengers Bengaluru,Fielding,Royal Challengers Bengaluru,Away Win,wickets,4,Moderate Win,170,20,No,Normal
14,2022,Season 15,Pune,06-04-2022,League,PJ Cummins,Maharashtra Cricket Association Stadium,Mumbai Indians,Kolkata Knight Riders,Kolkata Knight Riders,Fielding,Kolkata Knight Riders,Away Win,wickets,5,Moderate Win,162,20,No,Normal
15,2022,Season 15,Mumbai,07-04-2022,League,Q de Kock,"Dr DY Patil Sports Academy, Mumbai",Delhi Capitals,Lucknow Super Giants,Lucknow Super Giants,Fielding,Lucknow Super Giants,Away Win,wickets,6,Moderate Win,150,20,No,Normal
16,2022,Season 15,Mumbai,08-04-2022,League,Shubman Gill,"Brabourne Stadium, Mumbai",Punjab Kings,Gujarat Titans,Gujarat Titans,Fielding,Gujarat Titans,Away Win,wickets,6,Moderate Win,190,20,No,Normal
17,2022,Season 15,Mumbai,09-04-2022,League,Abhishek Sharma,"Dr DY Patil Sports Academy, Mumbai",Chennai Super Kings,Sunrisers Hyderabad,Sunrisers Hyderabad,Fielding,Sunrisers Hyderabad,Away Win,wickets,8,Dominating Win,155,20,No,Normal
18,2022,Season 15,Pune,09-04-2022,League,Anuj Rawat,Maharashtra Cricket Association Stadium,Mumbai Indians,Royal Challengers Bengaluru,Royal Challengers Bengaluru,Fielding,Royal Challengers Bengaluru,Away Win,wickets,7,Dominating Win,152,20,No,Normal
19,2022,Season 15,Mumbai,10-04-2022,League,Kuldeep Yadav,"Brabourne Stadium, Mumbai",Delhi Capitals,Kolkata Knight Riders,Kolkata Knight Riders,Fielding,Delhi Capitals,Home Win,Runs,44,Moderate Win,216,20,No,Normal
20,2022,Season 15,Mumbai,10-04-2022,League,YS Chahal,Wankhede Stadium,Rajasthan Royals,Lucknow Super Giants,Lucknow Super Giants,Fielding,Rajasthan Royals,Home Win,Runs,3,Close Match,166,20,No,Normal
21,2022,Season 15,Mumbai,11-04-2022,League,KS Williamson,"Dr DY Patil Sports Academy, Mumbai",Gujarat Titans,Sunrisers Hyderabad,Sunrisers Hyderabad,Fielding,Sunrisers Hyderabad,Away Win,wickets,8,Dominating Win,163,20,No,Normal
22,2022,Season 15,Mumbai,12-04-2022,League,S Dube,"Dr DY Patil Sports Academy, Mumbai",Chennai Super Kings,Royal Challengers Bengaluru,Royal Challengers Bengaluru,Fielding,Chennai Super Kings,Home Win,Runs,23,Moderate Win,217,20,No,Normal
23,2022,Season 15,Pune,13-04-2022,League,MA Agarwal,Maharashtra Cricket Association Stadium,Punjab Kings,Mumbai Indians,Mumbai Indians,Fielding,Punjab Kings,Home Win,Runs,12,Moderate Win,199,20,No,Normal
24,2022,Season 15,Mumbai,14-04-2022,League,HH Pandya,"Dr DY Patil Sports Academy, Mumbai",Gujarat Titans,Rajasthan Royals,Rajasthan Royals,Fielding,Gujarat Titans,Home Win,Runs,37,Moderate Win,193,20,No,Normal
25,2022,Season 15,Mumbai,15-04-2022,League,RA Tripathi,"Brabourne Stadium, Mumbai",Kolkata Knight Riders,Sunrisers Hyderabad,Sunrisers Hyderabad,Fielding,Sunrisers Hyderabad,Away Win,wickets,7,Dominating Win,176,20,No,Normal
26,2022,Season 15,Mumbai,16-04-2022,League,KL Rahul,"Brabourne Stadium, Mumbai",Lucknow Super Giants,Mumbai Indians,Mumbai Indians,Fielding,Lucknow Super Giants,Home Win,Runs,18,Moderate Win,200,20,No,Normal
27,2022,Season 15,Mumbai,16-04-2022,League,KD Karthik,Wankhede Stadium,Royal Challengers Bengaluru,Delhi Capitals,Delhi Capitals,Fielding,Royal Challengers Bengaluru,Home Win,Runs,16,Moderate Win,190,20,No,Normal
28,2022,Season 15,Mumbai,17-04-2022,League,Umran Malik,"Dr DY Patil Sports Academy, Mumbai",Punjab Kings,Sunrisers Hyderabad,Sunrisers Hyderabad,Fielding,Sunrisers Hyderabad,Away Win,wickets,7,Dominating Win,152,20,No,Normal
29,2022,Season 15,Pune,17-04-2022,League,DA Miller,Maharashtra Cricket Association Stadium,Chennai Super Kings,Gujarat Titans,Gujarat Titans,Fielding,Gujarat Titans,Away Win,wickets,3,Close Match,170,20,No,Normal
30,2022,Season 15,Mumbai,18-04-2022,League,YS Chahal,"Brabourne Stadium, Mumbai",Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,Fielding,Rajasthan Royals,Home Win,Runs,7,Close Match,218,20,No,Normal
31,2022,Season 15,Mumbai,19-04-2022,League,F du Plessis,"Dr DY Patil Sports Academy, Mumbai",Royal Challengers Bengaluru,Lucknow Super Giants,Lucknow Super Giants,Fielding,Royal Challengers Bengaluru,Home Win,Runs,18,Moderate Win,182,20,No,Normal
32,2022,Season 15,Mumbai,20-04-2022,League,Kuldeep Yadav,"Brabourne Stadium, Mumbai",Punjab Kings,Delhi Capitals,Delhi Capitals,Fielding,Delhi Capitals,Away Win,wickets,9,Dominating Win,116,20,No,Normal
33,2022,Season 15,Navi Mumbai,21-04-2022,League,Mukesh Choudhary,"Dr DY Patil Sports Academy, Mumbai",Mumbai Indians,Chennai Super Kings,Chennai Super Kings,Fielding,Chennai Super Kings,Away Win,wickets,3,Close Match,156,20,No,Normal
34,2022,Season 15,Mumbai,22-04-2022,League,JC Buttler,Wankhede Stadium,Rajasthan Royals,Delhi Capitals,Delhi Capitals,Fielding,Rajasthan Royals,Home Win,Runs,15,Moderate Win,223,20,No,Normal
35,2022,Season 15,Navi Mumbai,23-04-2022,League,Rashid Khan,"Dr DY Patil Sports Academy, Mumbai",Gujarat Titans,Kolkata Knight Riders,Gujarat Titans,Bating,Gujarat Titans,Home Win,Runs,8,Close Match,157,20,No,Normal
36,2022,Season 15,Mumbai,23-04-2022,League,M Jansen,"Brabourne Stadium, Mumbai",Royal Challengers Bengaluru,Sunrisers Hyderabad,Sunrisers Hyderabad,Fielding,Sunrisers Hyderabad,Away Win,wickets,9,Dominating Win,69,20,No,Normal
37,2022,Season 15,Mumbai,24-04-2022,League,KL Rahul,Wankhede Stadium,Lucknow Super Giants,Mumbai Indians,Mumbai Indians,Fielding,Lucknow Super Giants,Home Win,Runs,36,Moderate Win,169,20,No,Normal
38,2022,Season 15,Mumbai,25-04-2022,League,S Dhawan,Wankhede Stadium,Punjab Kings,Chennai Super Kings,Chennai Super Kings,Fielding,Punjab Kings,Home Win,Runs,11,Moderate Win,188,20,No,Normal
39,2022,Season 15,Pune,26-04-2022,League,R Parag,Maharashtra Cricket Association Stadium,Rajasthan Royals,Royal Challengers Bengaluru,Royal Challengers Bengaluru,Fielding,Rajasthan Royals,Home Win,Runs,29,Moderate Win,145,20,No,Normal
40,2022,Season 15,Mumbai,27-04-2022,League,Umran Malik,Wankhede Stadium,Sunrisers Hyderabad,Gujarat Titans,Gujarat Titans,Fielding,Gujarat Titans,Away Win,wickets,5,Moderate Win,196,20,No,Normal
41,2022,Season 15,Mumbai,28-04-2022,League,Kuldeep Yadav,Wankhede Stadium,Kolkata Knight Riders,Delhi Capitals,Delhi Capitals,Fielding,Delhi Capitals,Away Win,wickets,4,Moderate Win,147,20,No,Normal
42,2022,Season 15,Pune,29-04-2022,League,KH Pandya,Maharashtra Cricket Association Stadium,Lucknow Super Giants,Punjab Kings,Punjab Kings,Fielding,Lucknow Super Giants,Home Win,Runs,20,Moderate Win,154,20,No,Normal
43,2022,Season 15,Mumbai,30-04-2022,League,R Tewatia,"Brabourne Stadium, Mumbai",Royal Challengers Bengaluru,Gujarat Titans,Royal Challengers Bengaluru,Bating,Gujarat Titans,Away Win,wickets,6,Moderate Win,171,20,No,Normal
44,2022,Season 15,Navi Mumbai,30-04-2022,League,SA Yadav,"Dr DY Patil Sports Academy, Mumbai",Rajasthan Royals,Mumbai Indians,Mumbai Indians,Fielding,Mumbai Indians,Away Win,wickets,5,Moderate Win,159,20,No,Normal
45,2022,Season 15,Mumbai,01-05-2022,League,Mohsin Khan,Wankhede Stadium,Lucknow Super Giants,Delhi Capitals,Lucknow Super Giants,Bating,Lucknow Super Giants,Home Win,Runs,6,Close Match,196,20,No,Normal
46,2022,Season 15,Pune,01-05-2022,League,RD Gaikwad,Maharashtra Cricket Association Stadium,Chennai Super Kings,Sunrisers Hyderabad,Sunrisers Hyderabad,Fielding,Chennai Super Kings,Home Win,Runs,13,Moderate Win,203,20,No,Normal
47,2022,Season 15,Mumbai,02-05-2022,League,RK Singh,Wankhede Stadium,Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,Fielding,Kolkata Knight Riders,Away Win,wickets,7,Dominating Win,153,20,No,Normal
48,2022,Season 15,Navi Mumbai,03-05-2022,League,K Rabada,"Dr DY Patil Sports Academy, Mumbai",Gujarat Titans,Punjab Kings,Gujarat Titans,Bating,Punjab Kings,Away Win,wickets,8,Dominating Win,144,20,No,Normal
49,2022,Season 15,Pune,04-05-2022,League,HV Patel,Maharashtra Cricket Association Stadium,Royal Challengers Bengaluru,Chennai Super Kings,Chennai Super Kings,Fielding,Royal Challengers Bengaluru,Home Win,Runs,13,Moderate Win,174,20,No,Normal
50,2022,Season 15,Mumbai,05-05-2022,League,DA Warner,"Brabourne Stadium, Mumbai",Delhi Capitals,Sunrisers Hyderabad,Sunrisers Hyderabad,Fielding,Delhi Capitals,Home Win,Runs,21,Moderate Win,208,20,No,Normal
51,2022,Season 15,Mumbai,06-05-2022,League,TH David,"Brabourne Stadium, Mumbai",Mumbai Indians,Gujarat Titans,Gujarat Titans,Fielding,Mumbai Indians,Home Win,Runs,5,Close Match,178,20,No,Normal
52,2022,Season 15,Mumbai,07-05-2022,League,YBK Jaiswal,Wankhede Stadium,Punjab Kings,Rajasthan Royals,Punjab Kings,Bating,Rajasthan Royals,Away Win,wickets,6,Moderate Win,190,20,No,Normal
53,2022,Season 15,Pune,07-05-2022,League,Avesh Khan,Maharashtra Cricket Association Stadium,Lucknow Super Giants,Kolkata Knight Riders,Kolkata Knight Riders,Fielding,Lucknow Super Giants,Home Win,Runs,75,Dominating Win,177,20,No,Normal
54,2022,Season 15,Mumbai,08-05-2022,League,PWH de Silva,Wankhede Stadium,Royal Challengers Bengaluru,Sunrisers Hyderabad,Royal Challengers Bengaluru,Bating,Royal Challengers Bengaluru,Home Win,Runs,67,Dominating Win,193,20,No,Normal
55,2022,Season 15,Navi Mumbai,08-05-2022,League,DP Conway,"Dr DY Patil Sports Academy, Mumbai",Chennai Super Kings,Delhi Capitals,Delhi Capitals,Fielding,Chennai Super Kings,Home Win,Runs,91,Dominating Win,209,20,No,Normal
56,2022,Season 15,Navi Mumbai,09-05-2022,League,JJ Bumrah,"Dr DY Patil Sports Academy, Mumbai",Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,Fielding,Kolkata Knight Riders,Home Win,Runs,52,Dominating Win,166,20,No,Normal
57,2022,Season 15,Pune,10-05-2022,League,Shubman Gill,Maharashtra Cricket Association Stadium,Gujarat Titans,Lucknow Super Giants,Gujarat Titans,Bating,Gujarat Titans,Home Win,Runs,62,Dominating Win,145,20,No,Normal
58,2022,Season 15,Navi Mumbai,11-05-2022,League,MR Marsh,"Dr DY Patil Sports Academy, Mumbai",Rajasthan Royals,Delhi Capitals,Delhi Capitals,Fielding,Delhi Capitals,Away Win,wickets,8,Dominating Win,161,20,No,Normal
59,2022,Season 15,Mumbai,12-05-2022,League,DR Sams,Wankhede Stadium,Chennai Super Kings,Mumbai Indians,Mumbai Indians,Fielding,Mumbai Indians,Away Win,wickets,5,Moderate Win,98,20,No,Normal
60,2022,Season 15,Mumbai,13-05-2022,League,JM Bairstow,"Brabourne Stadium, Mumbai",Punjab Kings,Royal Challengers Bengaluru,Royal Challengers Bengaluru,Fielding,Punjab Kings,Home Win,Runs,54,Dominating Win,210,20,No,Normal
61,2022,Season 15,Pune,14-05-2022,League,AD Russell,Maharashtra Cricket Association Stadium,Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders,Bating,Kolkata Knight Riders,Home Win,Runs,54,Dominating Win,178,20,No,Normal
62,2022,Season 15,Mumbai,15-05-2022,League,WP Saha,Wankhede Stadium,Chennai Super Kings,Gujarat Titans,Chennai Super Kings,Bating,Gujarat Titans,Away Win,wickets,7,Dominating Win,134,20,No,Normal
63,2022,Season 15,Mumbai,15-05-2022,League,TA Boult,"Brabourne Stadium, Mumbai",Rajasthan Royals,Lucknow Super Giants,Rajasthan Royals,Bating,Rajasthan Royals,Home Win,Runs,24,Moderate Win,179,20,No,Normal
64,2022,Season 15,Navi Mumbai,16-05-2022,League,SN Thakur,"Dr DY Patil Sports Academy, Mumbai",Delhi Capitals,Punjab Kings,Punjab Kings,Fielding,Delhi Capitals,Home Win,Runs,17,Moderate Win,160,20,No,Normal
65,2022,Season 15,Mumbai,17-05-2022,League,RA Tripathi,Wankhede Stadium,Sunrisers Hyderabad,Mumbai Indians,Mumbai Indians,Fielding,Sunrisers Hyderabad,Home Win,Runs,3,Close Match,194,20,No,Normal
66,2022,Season 15,Navi Mumbai,18-05-2022,League,Q de Kock,"Dr DY Patil Sports Academy, Mumbai",Lucknow Super Giants,Kolkata Knight Riders,Lucknow Super Giants,Bating,Lucknow Super Giants,Home Win,Runs,2,Close Match,211,20,No,Normal
67,2022,Season 15,Mumbai,19-05-2022,League,V Kohli,Wankhede Stadium,Gujarat Titans,Royal Challengers Bengaluru,Gujarat Titans,Bating,Royal Challengers Bengaluru,Away Win,wickets,8,Dominating Win,169,20,No,Normal
68,2022,Season 15,Mumbai,20-05-2022,League,R Ashwin,"Brabourne Stadium, Mumbai",Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,Bating,Rajasthan Royals,Away Win,wickets,5,Moderate Win,151,20,No,Normal
69,2022,Season 15,Mumbai,21-05-2022,League,JJ Bumrah,Wankhede Stadium,Delhi Capitals,Mumbai Indians,Mumbai Indians,Fielding,Mumbai Indians,Away Win,wickets,5,Moderate Win,160,20,No,Normal
70,2022,Season 15,Mumbai,22-05-2022,League,Harpreet Brar,Wankhede Stadium,Sunrisers Hyderabad,Punjab Kings,Sunrisers Hyderabad,Bating,Punjab Kings,Away Win,wickets,5,Moderate Win,158,20,No,Normal
71,2022,Season 15,Kolkata,24-05-2022,Playoffs,DA Miller,Eden Gardens,Rajasthan Royals,Gujarat Titans,Gujarat Titans,Fielding,Gujarat Titans,Away Win,wickets,7,Dominating Win,189,20,No,Normal
72,2022,Season 15,Kolkata,25-05-2022,Playoffs,RM Patidar,Eden Gardens,Royal Challengers Bengaluru,Lucknow Super Giants,Lucknow Super Giants,Fielding,Royal Challengers Bengaluru,Home Win,Runs,14,Moderate Win,208,20,No,Normal
73,2022,Season 15,Ahmedabad,27-05-2022,Playoffs,JC Buttler,"Narendra Modi Stadium, Ahmedabad",Royal Challengers Bengaluru,Rajasthan Royals,Rajasthan Royals,Fielding,Rajasthan Royals,Away Win,wickets,7,Dominating Win,158,20,No,Normal
74,2022,Season 15,Ahmedabad,29-05-2022,Final,HH Pandya,"Narendra Modi Stadium, Ahmedabad",Rajasthan Royals,Gujarat Titans,Rajasthan Royals,Bating,Gujarat Titans,Away Win,wickets,7,Dominating Win,131,20,No,Normal
1,2023,Season 16,Ahmedabad,31-03-2023,League,Rashid Khan,"Narendra Modi Stadium, Ahmedabad",Chennai Super Kings,Gujarat Titans,Gujarat Titans,Fielding,Gujarat Titans,Away Win,wickets,5,Moderate Win,179,20,No,Normal
2,2023,Season 16,Chandigarh,01-04-2023,League,Arshdeep Singh,"Punjab Cricket Association Stadium, Mohali",Punjab Kings,Kolkata Knight Riders,Kolkata Knight Riders,Fielding,Punjab Kings,Home Win,Runs,7,Close Match,154,16,No,D/L
3,2023,Season 16,Lucknow,01-04-2023,League,MA Wood,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Lucknow Super Giants,Delhi Capitals,Delhi Capitals,Fielding,Lucknow Super Giants,Home Win,Runs,50,Moderate Win,194,20,No,Normal
4,2023,Season 16,Hyderabad,02-04-2023,League,JC Buttler,Rajiv Gandhi International Stadium,Rajasthan Royals,Sunrisers Hyderabad,Sunrisers Hyderabad,Fielding,Rajasthan Royals,Home Win,Runs,72,Dominating Win,204,20,No,Normal
5,2023,Season 16,Bengaluru,02-04-2023,League,F du Plessis,M Chinnaswamy Stadium,Mumbai Indians,Royal Challengers Bengaluru,Royal Challengers Bengaluru,Fielding,Royal Challengers Bengaluru,Away Win,wickets,8,Dominating Win,172,20,No,Normal
6,2023,Season 16,Chennai,03-04-2023,League,MM Ali,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,Lucknow Super Giants,Lucknow Super Giants,Fielding,Chennai Super Kings,Home Win,Runs,12,Moderate Win,218,20,No,Normal
7,2023,Season 16,Delhi,04-04-2023,League,B Sai Sudharsan,"Arun Jaitley Stadium, Delhi ",Delhi Capitals,Gujarat Titans,Gujarat Titans,Fielding,Gujarat Titans,Away Win,wickets,6,Moderate Win,163,20,No,Normal
8,2023,Season 16,Guwahati,05-04-2023,League,NT Ellis,"Barsapara Cricket Stadium, Guwahati",Punjab Kings,Rajasthan Royals,Rajasthan Royals,Fielding,Punjab Kings,Home Win,Runs,5,Close Match,198,20,No,Normal
9,2023,Season 16,Kolkata,06-04-2023,League,SN Thakur,Eden Gardens,Kolkata Knight Riders,Royal Challengers Bengaluru,Royal Challengers Bengaluru,Fielding,Kolkata Knight Riders,Home Win,Runs,81,Dominating Win,205,20,No,Normal
10,2023,Season 16,Lucknow,07-04-2023,League,KH Pandya,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Sunrisers Hyderabad,Lucknow Super Giants,Sunrisers Hyderabad,Bating,Lucknow Super Giants,Away Win,wickets,5,Moderate Win,122,20,No,Normal
11,2023,Season 16,Guwahati,08-04-2023,League,YBK Jaiswal,"Barsapara Cricket Stadium, Guwahati",Rajasthan Royals,Delhi Capitals,Delhi Capitals,Fielding,Rajasthan Royals,Home Win,Runs,57,Dominating Win,200,20,No,Normal
12,2023,Season 16,Mumbai,08-04-2023,League,RA Jadeja,Wankhede Stadium,Mumbai Indians,Chennai Super Kings,Chennai Super Kings,Fielding,Chennai Super Kings,Away Win,wickets,7,Dominating Win,158,20,No,Normal
13,2023,Season 16,Ahmedabad,09-04-2023,League,RK Singh,"Narendra Modi Stadium, Ahmedabad",Gujarat Titans,Kolkata Knight Riders,Gujarat Titans,Bating,Kolkata Knight Riders,Away Win,wickets,3,Close Match,205,20,No,Normal
14,2023,Season 16,Hyderabad,09-04-2023,League,S Dhawan,Rajiv Gandhi International Stadium,Punjab Kings,Sunrisers Hyderabad,Sunrisers Hyderabad,Fielding,Sunrisers Hyderabad,Away Win,wickets,8,Dominating Win,144,20,No,Normal
15,2023,Season 16,Bengaluru,10-04-2023,League,N Pooran,M Chinnaswamy Stadium,Royal Challengers Bengaluru,Lucknow Super Giants,Lucknow Super Giants,Fielding,Lucknow Super Giants,Away Win,wickets,1,Close Match,213,20,No,Normal
16,2023,Season 16,Delhi,11-04-2023,League,RG Sharma,"Arun Jaitley Stadium, Delhi ",Delhi Capitals,Mumbai Indians,Mumbai Indians,Fielding,Mumbai Indians,Away Win,wickets,6,Moderate Win,173,20,No,Normal
17,2023,Season 16,Chennai,12-04-2023,League,R Ashwin,"MA Chidambaram Stadium, Chepauk",Rajasthan Royals,Chennai Super Kings,Chennai Super Kings,Fielding,Rajasthan Royals,Home Win,Runs,3,Close Match,176,20,No,Normal
18,2023,Season 16,Chandigarh,13-04-2023,League,MM Sharma,"Punjab Cricket Association Stadium, Mohali",Punjab Kings,Gujarat Titans,Gujarat Titans,Fielding,Gujarat Titans,Away Win,wickets,6,Moderate Win,154,20,No,Normal
19,2023,Season 16,Kolkata,14-04-2023,League,HC Brook,Eden Gardens,Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders,Fielding,Sunrisers Hyderabad,Home Win,Runs,23,Moderate Win,229,20,No,Normal
20,2023,Season 16,Bengaluru,15-04-2023,League,V Kohli,M Chinnaswamy Stadium,Royal Challengers Bengaluru,Delhi Capitals,Delhi Capitals,Fielding,Royal Challengers Bengaluru,Home Win,Runs,23,Moderate Win,175,20,No,Normal
21,2023,Season 16,Lucknow,15-04-2023,League,Sikandar Raza,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Lucknow Super Giants,Punjab Kings,Punjab Kings,Fielding,Punjab Kings,Away Win,wickets,2,Close Match,160,20,No,Normal
22,2023,Season 16,Mumbai,16-04-2023,League,VR Iyer,Wankhede Stadium,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,Fielding,Mumbai Indians,Away Win,wickets,5,Moderate Win,186,20,No,Normal
23,2023,Season 16,Ahmedabad,16-04-2023,League,SO Hetmyer,"Narendra Modi Stadium, Ahmedabad",Gujarat Titans,Rajasthan Royals,Rajasthan Royals,Fielding,Rajasthan Royals,Away Win,wickets,3,Close Match,178,20,No,Normal
24,2023,Season 16,Bengaluru,17-04-2023,League,DP Conway,M Chinnaswamy Stadium,Chennai Super Kings,Royal Challengers Bengaluru,Royal Challengers Bengaluru,Fielding,Chennai Super Kings,Home Win,Runs,8,Close Match,227,20,No,Normal
25,2023,Season 16,Hyderabad,18-04-2023,League,C Green,Rajiv Gandhi International Stadium,Mumbai Indians,Sunrisers Hyderabad,Sunrisers Hyderabad,Fielding,Mumbai Indians,Home Win,Runs,14,Moderate Win,193,20,No,Normal
