Matches,Year,Season ,City,Date,Match_type,Player_of_match,Venue,Home Team,Visiting Team,Toss_winner,Toss_decision,Match Winner,Home/Away Result,Won By,Result_margin,Winning Margin Category,Target_Runs,Target_overs,Super_over,Result Method
47,2012,Season 5,Mumbai,06-05-2012,League,DR Smith,Wankhede Stadium,Mumbai Indians,Chennai Super Kings,Mumbai Indians,Fielding,Mumbai Indians,Home Win,wickets,2,Close Match,174,20,No,Normal
48,2012,Season 5,Bengaluru,06-05-2012,League,AB de Villiers,M Chinnaswamy Stadium,Royal Challengers Bengaluru,Deccan Chargers,Royal Challengers Bengaluru,Fielding,Royal Challengers Bengaluru,Home Win,wickets,5,Moderate Win,182,20,No,Normal
49,2012,Season 5,Delhi,07-05-2012,League,JH Kallis,"Arun Jaitley Stadium, Delhi ",Delhi Capitals,Kolkata Knight Riders,Delhi Capitals,Bating,Kolkata Knight Riders,Away Win,wickets,6,Moderate Win,154,20,No,Normal
50,2012,Season 5,Pune,08-05-2012,League,SR Watson,Subrata Roy Sahara Stadium,Pune Warriors,Rajasthan Royals,Pune Warriors,Bating,Rajasthan Royals,Away Win,wickets,7,Dominating Win,126,20,No,Normal
51,2012,Season 5,Hyderabad,08-05-2012,League,Mandeep Singh,Rajiv Gandhi International Stadium,Deccan Chargers,Punjab Kings,Deccan Chargers,Fielding,Punjab Kings,Away Win,Runs,25,Moderate Win,171,20,No,Normal
52,2012,Season 5,Mumbai,09-05-2012,League,CH Gayle,Wankhede Stadium,Mumbai Indians,Royal Challengers Bengaluru,Royal Challengers Bengaluru,Fielding,Royal Challengers Bengaluru,Away Win,wickets,9,Dominating Win,142,20,No,Normal
53,2012,Season 5,Hyderabad,10-05-2012,League,DA Warner,Rajiv Gandhi International Stadium,Deccan Chargers,Delhi Capitals,Deccan Chargers,Bating,Delhi Capitals,Away Win,wickets,9,Dominating Win,188,20,No,Normal
54,2012,Season 5,Jaipur,10-05-2012,League,BW Hilfenhaus,Sawai Mansingh Stadium,Rajasthan Royals,Chennai Super Kings,Chennai Super Kings,Fielding,Chennai Super Kings,Away Win,wickets,4,Moderate Win,127,20,No,Normal
55,2012,Season 5,Pune,11-05-2012,League,CH Gayle,Subrata Roy Sahara Stadium,Pune Warriors,Royal Challengers Bengaluru,Pune Warriors,Fielding,Royal Challengers Bengaluru,Away Win,Runs,35,Moderate Win,174,20,No,Normal
56,2012,Season 5,Kolkata,12-05-2012,League,RG Sharma,Eden Gardens,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,Bating,Mumbai Indians,Away Win,Runs,27,Moderate Win,183,20,No,Normal
57,2012,Season 5,Chennai,12-05-2012,League,BW Hilfenhaus,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,Delhi Capitals,Chennai Super Kings,Fielding,Chennai Super Kings,Home Win,wickets,9,Dominating Win,115,20,No,Normal
58,2012,Season 5,Jaipur,13-05-2012,League,A Chandila,Sawai Mansingh Stadium,Rajasthan Royals,Pune Warriors,Rajasthan Royals,Bating,Rajasthan Royals,Home Win,Runs,45,Moderate Win,171,20,No,Normal
59,2012,Season 5,Chandigarh,13-05-2012,League,DJ Hussey,"Punjab Cricket Association Stadium, Mohali",Punjab Kings,Deccan Chargers,Deccan Chargers,Bating,Punjab Kings,Home Win,wickets,4,Moderate Win,191,20,No,Normal
60,2012,Season 5,Bengaluru,14-05-2012,League,AT Rayudu,M Chinnaswamy Stadium,Royal Challengers Bengaluru,Mumbai Indians,Mumbai Indians,Fielding,Mumbai Indians,Away Win,wickets,5,Moderate Win,172,20,No,Normal
61,2012,Season 5,Kolkata,14-05-2012,League,MEK Hussey,Eden Gardens,Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings,Fielding,Chennai Super Kings,Away Win,wickets,5,Moderate Win,159,20,No,Normal
62,2012,Season 5,Delhi,15-05-2012,League,UT Yadav,"Arun Jaitley Stadium, Delhi ",Delhi Capitals,Punjab Kings,Punjab Kings,Bating,Delhi Capitals,Home Win,wickets,5,Moderate Win,137,20,No,Normal
63,2012,Season 5,Mumbai,16-05-2012,League,SP Narine,Wankhede Stadium,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,Fielding,Kolkata Knight Riders,Away Win,Runs,32,Moderate Win,141,20,No,Normal
64,2012,Season 5,Dharamsala,17-05-2012,League,AC Gilchrist,Himachal Pradesh Cricket Association Stadium,Punjab Kings,Chennai Super Kings,Punjab Kings,Fielding,Punjab Kings,Home Win,wickets,6,Moderate Win,121,20,No,Normal
65,2012,Season 5,Delhi,17-05-2012,League,CH Gayle,"Arun Jaitley Stadium, Delhi ",Delhi Capitals,Royal Challengers Bengaluru,Delhi Capitals,Fielding,Royal Challengers Bengaluru,Away Win,Runs,21,Moderate Win,216,20,No,Normal
66,2012,Season 5,Hyderabad,18-05-2012,League,DW Steyn,Rajiv Gandhi International Stadium,Deccan Chargers,Rajasthan Royals,Rajasthan Royals,Bating,Deccan Chargers,Home Win,wickets,5,Moderate Win,127,20,No,Normal
67,2012,Season 5,Dharamsala,19-05-2012,League,UT Yadav,Himachal Pradesh Cricket Association Stadium,Punjab Kings,Delhi Capitals,Delhi Capitals,Fielding,Delhi Capitals,Away Win,wickets,6,Moderate Win,142,20,No,Normal
68,2012,Season 5,Pune,19-05-2012,League,Shakib Al Hasan,Subrata Roy Sahara Stadium,Pune Warriors,Kolkata Knight Riders,Kolkata Knight Riders,Bating,Kolkata Knight Riders,Away Win,Runs,34,Moderate Win,137,20,No,Normal
69,2012,Season 5,Hyderabad,20-05-2012,League,DW Steyn,Rajiv Gandhi International Stadium,Deccan Chargers,Royal Challengers Bengaluru,Royal Challengers Bengaluru,Fielding,Deccan Chargers,Home Win,Runs,9,Close Match,133,20,No,Normal
